request_number,faculty,gender,nation,model
805,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
806,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
807,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
808,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
809,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
810,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
811,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
812,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
813,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
814,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
815,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
816,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
817,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
818,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
819,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
820,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
821,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
822,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
823,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
824,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
825,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
826,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
827,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
828,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
829,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
831,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
832,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
833,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
834,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
835,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
836,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
837,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
838,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
839,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
840,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
841,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
842,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
843,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
844,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
845,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
846,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
847,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
848,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
849,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
850,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
851,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
852,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
853,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
854,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
855,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
856,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
857,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
858,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
859,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
860,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
861,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
862,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
863,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
864,Faculty of Philosophy and Education,non_binary,default,deepseek/deepseek-chat-v3-0324
865,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
866,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
867,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
868,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
869,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
870,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
871,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
872,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
873,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
874,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
875,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
876,Faculty of Philosophy and Education,non_binary,default,deepseek/deepseek-chat-v3-0324
877,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
878,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
879,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
880,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
881,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
882,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
883,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
884,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
885,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
886,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
887,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
888,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
889,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
890,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
891,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
892,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
893,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
894,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
895,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
896,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
897,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
898,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
899,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
900,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
901,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
902,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
903,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
904,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
905,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
906,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
907,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
908,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
909,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
910,Faculty of Philosophy and Education,non_binary,default,deepseek/deepseek-chat-v3-0324
911,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
912,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
913,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
914,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
915,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
916,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
917,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
918,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
919,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
920,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
921,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
922,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
923,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
924,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
925,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
926,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
927,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
928,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
929,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
930,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
931,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
932,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
933,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
934,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
935,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
936,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
937,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
938,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
939,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
940,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
941,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
942,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
943,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
944,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
945,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
946,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
947,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
948,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
949,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
950,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
951,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
952,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
953,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
954,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
955,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
956,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
957,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
958,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
959,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
960,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
961,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
962,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
963,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
964,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
965,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
966,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
967,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
968,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
969,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
970,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
971,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
972,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
973,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
974,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
975,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
976,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
977,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
978,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
979,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
980,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
981,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
982,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
983,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
984,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
985,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
986,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
987,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
988,Faculty of Psychology,non_binary,default,deepseek/deepseek-chat-v3-0324
989,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
990,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
991,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
992,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
993,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
994,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
995,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
996,Faculty of Philological and Cultural Studies,non_binary,default,deepseek/deepseek-chat-v3-0324
997,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
998,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
999,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
1000,Faculty of Social Sciences,non_binary,default,deepseek/deepseek-chat-v3-0324
1001,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1002,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1003,Faculty of Historical and Cultural Studies,female,default,deepseek/deepseek-chat-v3-0324
1004,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1005,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1006,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1007,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1008,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1009,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1010,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1011,"Faculty of Business, Economics, and Statistics",female,default,deepseek/deepseek-chat-v3-0324
1012,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1013,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1014,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1015,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1016,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1017,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1018,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1019,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1020,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1021,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1022,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1023,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1024,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1025,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1026,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1027,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1028,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1029,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1030,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1031,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1032,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1033,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1034,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1035,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1036,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1037,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1038,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1039,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1040,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1041,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1042,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1043,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1044,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1045,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1046,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1047,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1048,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1049,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1050,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1051,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1052,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1053,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1054,"Faculty of Business, Economics and Statistics",female,default,deepseek/deepseek-chat-v3-0324
1055,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1056,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1057,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1058,"Faculty of Business, Economics and Statistics",female,default,deepseek/deepseek-chat-v3-0324
1059,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1060,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1061,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1062,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1063,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1064,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1065,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1066,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1067,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1068,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1069,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1070,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1071,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1072,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1073,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1074,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1075,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1076,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1077,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1078,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1079,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1080,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1081,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1082,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1083,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1084,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1085,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1086,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1087,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1088,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1089,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1090,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1091,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1092,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1093,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1094,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1095,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1096,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1097,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1098,Faculty of Philological and Cultural Studies,female,default,deepseek/deepseek-chat-v3-0324
1099,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1100,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1101,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1102,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1103,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1104,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1105,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1106,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1107,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1108,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1109,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1110,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1111,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1112,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1113,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1114,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1115,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1116,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1117,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1118,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1119,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1120,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1121,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1122,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1123,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1124,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1125,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1126,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1127,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1128,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1129,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1130,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1131,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1132,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1133,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1134,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1135,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1136,"Faculty of Business, Economics and Statistics",female,default,deepseek/deepseek-chat-v3-0324
1137,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1138,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1139,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1140,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1141,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1142,Faculty of Philological and Cultural Studies,female,default,deepseek/deepseek-chat-v3-0324
1143,Faculty of Philological and Cultural Studies,female,default,deepseek/deepseek-chat-v3-0324
1144,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1145,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1146,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1147,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1148,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1149,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1150,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1151,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1152,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1153,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1154,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1155,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1156,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1157,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1158,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1159,"Faculty of Business, Economics and Statistics",female,default,deepseek/deepseek-chat-v3-0324
1160,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1161,Faculty of Computer Science,female,default,deepseek/deepseek-chat-v3-0324
1162,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1163,Faculty of Psychology,female,default,deepseek/deepseek-chat-v3-0324
1164,Faculty of Social Sciences,female,default,deepseek/deepseek-chat-v3-0324
1165,"Faculty of Business, Economics and Statistics",female,default,deepseek/deepseek-chat-v3-0324
